asset_url,ext,used_on_pages
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x711_821bb04a-aed7-4feb-8b58-1d1ff4586b0b.webp",webp,"/news_contents/direct_sales_growth"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x767_v-fs_webp_c4ccf775-3f83-43b6-a48f-75a9907109a6.jpg",jpg,"/news_contents/oZ-rajFC"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x767_v-fs_webp_c4ccf775-3f83-43b6-a48f-75a9907109a6_small.webp",webp,"/news_contents/oZ-rajFC"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x768_v-fs_webp_bb5348e5-8a9b-4a79-930d-af2579a1f7d4.jpg",jpg,"/news_contents/euDlXpBw"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x768_v-fs_webp_bb5348e5-8a9b-4a79-930d-af2579a1f7d4_small.webp",webp,"/news_contents/euDlXpBw"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x768_v-fs_webp_e6957605-c2e8-4685-bef6-7b2146709863.jpg",jpg,"/news_contents/q34MK8ul"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x768_v-fs_webp_e6957605-c2e8-4685-bef6-7b2146709863_small.webp",webp,"/news_contents/q34MK8ul"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x791_v-fs_webp_c3d59aba-f5a6-4eb8-8c32-013ecb4f7a84.jpg",jpg,"/news_contents/vzi9FenR"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x791_v-fs_webp_c3d59aba-f5a6-4eb8-8c32-013ecb4f7a84_small.webp",webp,"/news_contents/vzi9FenR"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x877_v-fs_webp_5b6a0990-d7f8-4b03-8470-537800ed5102.jpg",jpg,"/news_contents/1Px2hizl"
"https://storage.googleapis.com/studio-cms-assets/projects/NxqgdRVEa1/s-1024x877_v-fs_webp_5b6a0990-d7f8-4b03-8470-537800ed5102_small.webp",webp,"/news_contents/1Px2hizl"
